City,MAE,AUC,Accuracy_2deg
Vancouver,1.196437795670238,0.541871921182266,80.66298342541437
Portland,1.7164228677705864,0.8979591836734693,64.02116402116403
San Francisco,1.4564278400200974,0.6492450638792102,74.5945945945946
Seattle,1.4736178112977718,0.7868852459016394,76.19047619047619
Los Angeles,1.1265369358827269,0.7780748663101604,84.65608465608466
San Diego,1.0095089329940932,,89.41798941798942
Las Vegas,1.6840681976915566,0.47279516358463725,65.07936507936508
Phoenix,1.3805407813511557,0.258021978021978,78.72340425531915
Albuquerque,1.664615865644038,0.3919172932330827,67.1957671957672
Denver,2.4445754182724757,0.48696844993141286,55.55555555555556
San Antonio,1.3924692855040597,0.4525025536261491,78.83597883597884
Dallas,1.8259447118843417,0.5598765432098765,65.07936507936508
Houston,1.3752134957949584,0.6938271604938272,79.36507936507937
Kansas City,2.0951251826412,0.5545808966861598,57.67195767195767
Minneapolis,2.1000273222537866,0.5201117318435755,59.25925925925925
Saint Louis,2.0969822643432807,0.6302349336057201,59.25925925925925
Chicago,1.9871379212924662,0.6479832372970141,62.96296296296296
Nashville,1.7321300869157463,0.6265938069216758,68.25396825396825
Indianapolis,1.8815459143688213,0.6537037037037037,67.1957671957672
Atlanta,1.4535445618958112,0.3743093922651934,75.13227513227513
Detroit,1.8670646929659738,0.5441988950276243,63.49206349206349
Jacksonville,1.200043525468235,0.5016326530612245,85.18518518518519
Charlotte,1.497689225733126,0.65,73.01587301587301
Miami,1.002194338485801,0.5112126245847175,87.63440860215054
Pittsburgh,1.8162243955415456,0.5878378378378377,65.07936507936508
Toronto,1.7528338221878075,0.7370689655172413,66.13756613756614
Philadelphia,1.9534610618655197,0.6039106145251397,64.02116402116403
New York,1.8739188916326324,0.7351694915254238,61.62162162162163
Montreal,1.95817608708923,0.5761006289308176,65.07936507936508
Boston,2.202635297981044,0.5545454545454546,58.730158730158735
Beersheba,0.944959218333829,,90.27027027027027
Tel Aviv District,0.6980036793313062,0.7158469945355191,94.5945945945946
Eilat,1.2990787720776564,0.41181818181818186,78.37837837837837
Haifa,0.746401683720165,0.875,94.5945945945946
Nahariyya,0.7311131652412336,0.8695652173913043,95.13513513513514
Jerusalem,0.7882080438655509,0.9402173913043478,94.05405405405406
